単語,読み仮名,読み上げ用,使用範囲,JUMANカテゴリ,評価極性
ブース,ブース,ブース,10,場所-施設部位,-
塩素,エンソ,エンソ,8,自然物,-
局部,キョクブ,キョクブ,10,動物-部位;場所-機能,-
刀剣,トウケン,トウケン,7,人工物-その他,-
口腔,コウコウ,コウコウ,7,動物-部位,-
ブイ,ブイ,ブイ,7,人工物-その他,-
横道,オウドウ,オウドウ,9,場所-施設,-
坑道,コウドウ,コウドウ,8,場所-施設,-
鉱石,コウセキ,コウセキ,10,自然物,-
刷毛,ハケ,ハケ,7,人工物-その他,-
ファスナー,ファスナー,ファスナー,7,人工物-その他,-
ゴースト,ゴースト,ゴースト,7,人,e
デッサン,デッサン,デッサン,9,人工物-その他;抽象物,-
火種,ヒダネ,ヒダネ,10,自然物,-
オルガン,オルガン,オルガン,9,人工物-その他,-
主務,シュム,シュム,8,人;抽象物,-
フェルト,フェルト,フェルト,8,人工物-その他,-
城跡,ジョウセキ,ジョウセキ,7,場所-その他,-
植栽,ショクサイ,ショクサイ,7,人工物-その他,-
水草,ミズクサ,ミズクサ,8,植物,-
学区,ガック,ガック,8,場所-その他,-
婦女,フジョ,フジョ,7,人,-
竹藪,タケヤブ,タケヤブ,7,場所-自然,-
ランドセル,ランドセル,ランドセル,8,人工物-その他,-
目頭,メガシラ,メガシラ,8,動物-部位,-
触手,ショクシュ,ショクシュ,7,動物-部位,-
砲火,ホウカ,ホウカ,7,自然物,-
裏方,ウラカタ,ウラカタ,9,人,-
座長,ザチョウ,ザチョウ,9,人,-
入れ物,イレモノ,イレモノ,9,人工物-その他,-
肥,コエ,コエ,8,人工物-その他,-
ウラン,ウラン,ウラン,8,自然物,-
地層,チソウ,チソウ,9,場所-自然,e
盟主,メイシュ,メイシュ,9,人,-
雪山,ユキヤマ,ユキヤマ,8,場所-自然,-
物陰,モノカゲ,モノカゲ,7,場所-その他,-
陣中,ジンチュウ,ジンチュウ,8,場所-その他,-
里親,サトオヤ,サトオヤ,7,人,-
岩盤,ガンバン,ガンバン,10,自然物,-
牛蒡,ゴボウ,ゴボウ,8,植物;人工物-食べ物,-
仏陀,ブツダ,ブツダ,7,人,-
新薬,シンヤク,シンヤク,10,人工物-その他,-
アトム,アトム,アトム,7,自然物,-
肢体,シタイ,シタイ,7,動物-部位,-
統帥,トウスイ,トウスイ,7,人,-
文具,ブング,ブング,7,人工物-その他,-
名画,メイガ,メイガ,9,人工物-その他;抽象物,-
折り目,オリメ,オリメ,7,場所-その他,-
豪傑,ゴウケツ,ゴウケツ,8,人,p
知己,チキ,チキ,7,人,-
密林,ミツリン,ミツリン,9,場所-自然,-
バーナー,バーナー,バーナー,8,人工物-その他,-
血清,ケッセイ,ケッセイ,7,自然物,-
塩酸,エンサン,エンサン,8,自然物,-
本館,ホンカン,ホンカン,8,場所-施設,-
地頭,ジガシラ,ジガシラ,8,人,-
ブロンド,ブロンド,ブロンド,8,色,-
女流,ジョリュウ,ジョリュウ,9,人,-
管区,カンク,カンク,10,場所-その他,-
蟷螂,カマキリ,カマキリ,8,動物,-
元首,ゲンシュ,ゲンシュ,8,人,-
トタン,トタン,トタン,7,人工物-その他,-
足掛かり,アシガカリ,アシガカリ,9,場所-その他,-
瞳孔,ドウコウ,ドウコウ,7,動物-部位,-
サボテン,サボテン,サボテン,7,植物,-
鰈,カレイ,カレイ,9,動物;人工物-食べ物,-
深山,ミヤマ,ミヤマ,9,場所-自然,-
主軸,シュジク,シュジク,8,人工物-その他;抽象物,-
オムレツ,オムレツ,オムレツ,8,人工物-食べ物,-
飛車,ヒシャ,ヒシャ,7,人工物-その他,-
熟年,ジュクネン,ジュクネン,9,人;時間,-
鉄棒,テツボウ,テツボウ,8,人工物-その他,-
神器,ジンギ,ジンギ,9,人工物-その他,p
脊髄,セキズイ,セキズイ,8,動物-部位,-
スコッチ,スコッチ,スコッチ,7,人工物-食べ物,-
グラタン,グラタン,グラタン,9,人工物-食べ物,-
棍棒,コンボウ,コンボウ,8,人工物-その他,-
川縁,カワベリ,カワベリ,8,場所-自然,-
海図,カイズ,カイズ,9,人工物-その他;抽象物,-
紙上,シジョウ,シジョウ,8,場所-その他,-
泥鰌,ドジョウ,ドジョウ,9,動物;人工物-食べ物,-
外車,ガイシャ,ガイシャ,7,人工物-乗り物,-
チューリップ,チューリップ,チューリップ,7,植物,-
食道,ショクドウ,ショクドウ,8,動物-部位,-
真鍮,シンチュウ,シンチュウ,8,自然物,-
係長,カカリチョウ,カカリチョウ,9,人,-
寝袋,ネブクロ,ネブクロ,7,人工物-その他,-
兵糧,ヒョウロウ,ヒョウロウ,8,人工物-食べ物,-
羊毛,ヨウモウ,ヨウモウ,8,動物-部位,e
雪道,セツドウ,セツドウ,7,場所-施設,e
徒党,トトウ,トトウ,9,組織・団体,-
血族,ケツゾク,ケツゾク,8,組織・団体,-
山手,ヤマテ,ヤマテ,7,場所-その他,-
名将,メイショウ,メイショウ,9,人,-
砒素,ヒソ,ヒソ,8,自然物,-
皇太后,コウタイゴウ,コウタイゴウ,7,人,-
詰め所,ツメショ,ツメショ,8,場所-施設,-
土足,ドソク,ドソク,8,動物-部位,-
ニッケル,ニッケル,ニッケル,9,自然物,-
鯣,スルメ,スルメ,9,人工物-食べ物,-
フィギュア,フィギュア,フィギュア,8,人工物-その他;抽象物,-
島嶼,トウショ,トウショ,9,場所-自然,-
鳳凰,ホウオウ,ホウオウ,7,動物,e
五重塔,ゴジュウノトウ,ゴジュウノトウ,7,場所-施設,-
川下,カワシモ,カワシモ,8,場所-自然,-
軍手,グンテ,グンテ,7,人工物-衣類,-
同輩,ドウハイ,ドウハイ,9,人,-
中空,チュウクウ,チュウクウ,8,場所-自然,-
前輪,ゼンリン,ゼンリン,8,人工物-その他,-
麦藁,ムギワラ,ムギワラ,7,植物-部位,-
袖口,ソデグチ,ソデグチ,7,人工物-その他,-
プリンセス,プリンセス,プリンセス,8,人,-
温床,オンショウ,オンショウ,9,場所-その他,-
茶髪,チャパツ,チャパツ,7,動物-部位,-
右岸,ウガン,ウガン,8,場所-自然,-
固体,コタイ,コタイ,8,自然物,-
本殿,ホンデン,ホンデン,8,場所-施設,-
澱粉,デンプン,デンプン,9,自然物,-
沙魚,ハゼ,ハゼ,9,動物;人工物-食べ物,-
イチジク,イチジク,イチジク,8,植物;人工物-食べ物,-
油脂,ユシ,ユシ,7,人工物-食べ物,-
